pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,estimated_woba_using_speedangle,woba_value,woba_denom,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,home_score_diff,bat_score_diff,home_win_exp
SI,2025-03-30,100.6,"Martinez, Justin",683737,679885,,ball,11,R,L,R,AZ,CHC,,0,0,-1.29,0.67,-0.21606589075901517,3.697258691831119,,,,1,8,Top,,,,,,100.1,2188,6.1,778515,,,,65,1,2,6,6,2,6,2,6,2,227,0,0.039,,,-4,4,0.04
FF,2025-03-30,100.6,"Pearson, Nate",677950,663878,sac_fly,hit_into_play,6,R,L,R,AZ,CHC,fly_ball,0,1,-0.43,1.52,0.6356291922481833,2.4441183912877187,647304,656976,,1,6,Bot,183.45,56.95,377,100.9,33,101.1,2496,6.7,778515,0.9344062500000002,0,1,49,2,0,3,0,3,3,1,1,3,204,-0.018,-0.144,72.7,7.0,-3,-3,0.256
FF,2025-03-27,100.5,"Greene, Hunter",642715,668881,,foul,1,R,R,R,CIN,SF,,2,2,-0.99,1.34,-0.3650681762427328,3.0608637149485505,,,,1,1,Top,,,175,79.2,67,100.1,2552,6.4,778561,,,,2,5,0,0,0,0,0,0,0,0,215,0,0,69.5,7.4,0,0,0.524
SI,2025-03-31,100.5,"Alvarado, José",592178,621237,,foul_tip,5,R,R,L,PHI,COL,,0,0,1.04,1.19,0.14930961079161176,2.748883780511451,,,,2,8,Top,,,,,,101.4,2110,7,778502,,,,61,1,4,1,1,4,1,4,1,4,152,0.001,-0.043,76.6,7.3,3,-3,0.966
FF,2025-03-30,100.4,"Martinez, Justin",683737,679885,,ball,11,R,L,R,AZ,CHC,,1,0,-1.21,0.86,-0.9886544556955967,3.570799688732733,,,,1,8,Top,,,,,,99.6,2239,6,778515,,,,65,2,2,6,6,2,6,2,6,2,228,-0.001,0.071,,,-4,4,0.04
FF,2025-03-27,100.3,"Greene, Hunter",664774,668881,,called_strike,12,R,L,R,CIN,SF,,0,1,-0.87,1.43,0.898528580739633,2.1769799968463595,,,,0,1,Top,,,,,,100.4,2436,6.6,778561,,,,1,2,0,0,0,0,0,0,0,0,212,0.006,-0.055,,,0,0,0.503
FF,2025-03-30,100.3,"Joyce, Ben",681460,690829,,swinging_strike,11,R,L,R,CWS,LAA,,1,1,-0.92,1.02,-0.6601690783733021,3.605231678101212,642136,678246,,1,7,Bot,,,,,,101.4,2335,6.8,778527,,,,51,3,2,2,2,2,2,2,2,2,220,-0.033,-0.094,66.9,5.8,0,0,0.725
FF,2025-03-27,100.3,"Greene, Hunter",664774,668881,field_out,hit_into_play,5,R,L,R,CIN,SF,fly_ball,0,0,-0.91,1.4,-0.18558261170634205,2.316301181253589,,,573262,2,5,Top,62.82,97.01,297,94.1,43,101.1,2438,6.8,778561,0.052,0,1,38,1,3,2,2,3,2,3,2,3,217,0.032,-0.271,72.0,6.7,1,-1,0.676
FF,2025-03-27,100.3,"Greene, Hunter",527038,668881,,ball,12,R,R,R,CIN,SF,,0,2,-0.7,1.26,1.4622954795509067,2.580484012192502,,,,0,3,Top,,,,,,100.5,2457,6.8,778561,,,,16,3,1,0,0,1,0,1,0,1,214,-0.002,0.024,,,1,-1,0.622
FF,2025-03-29,100.3,"Duran, Jhoan",663457,661395,,called_strike,6,R,L,R,STL,MIN,,2,0,-1.07,0.69,0.7335088444242606,2.3179542683679597,,687363,691026,0,8,Bot,,,,,,100.3,1998,6.3,778528,,,,64,3,4,1,4,1,1,4,4,1,237,-0.001,-0.084,,,3,3,0.984
FF,2025-03-30,100.3,"Martinez, Justin",621020,679885,,ball,14,R,R,R,AZ,CHC,,2,2,-0.95,1.07,0.43328819110329175,1.1604733168649939,,,,2,8,Top,,,,,,99.1,2288,6.2,778515,,,,66,5,2,6,6,2,6,2,6,2,236,0,0.104,,,-4,4,0.042
FF,2025-03-27,100.2,"Greene, Hunter",664774,668881,,foul,2,R,L,R,CIN,SF,,0,2,-0.94,1.32,0.052562868630068094,3.009879661938656,,,,0,1,Top,,,,,,100,2442,6.5,778561,,,,1,3,0,0,0,0,0,0,0,0,219,0,0,67.5,6.2,0,0,0.509
FF,2025-03-29,100.2,"Miller, Mason",645302,695243,,foul,6,R,R,R,SEA,ATH,,1,0,-0.67,1.41,0.4570966015183098,2.061530250937706,,,641487,1,9,Bot,,,196,81,18,101.5,2472,7,778521,,,,75,2,2,4,2,4,4,2,2,4,210,-0.013,-0.056,66.1,6.0,-2,-2,0.122
FF,2025-03-30,100.2,"Joyce, Ben",681460,690829,field_out,hit_into_play,11,R,L,R,CWS,LAA,fly_ball,2,2,-0.73,0.79,-0.27195525779404495,3.920255695130389,642136,678246,,1,7,Bot,76.99,126.74,191,88.9,62,101.3,2359,6.9,778527,0.016,0,1,51,5,2,2,2,2,2,2,2,2,214,-0.115,-0.103,70.9,6.3,0,0,0.712
SI,2025-03-31,100.2,"Alvarado, José",592178,621237,,swinging_strike,3,R,R,L,PHI,COL,,3,1,1.31,0.98,0.6815855071477637,2.9806737705599176,,,,2,8,Top,,,,,,101.2,2018,7.2,778502,,,,61,5,4,1,1,4,1,4,1,4,152,0.002,-0.086,69.4,7.1,3,-3,0.962
FF,2025-03-29,100.2,"Duran, Jhoan",691026,661395,walk,ball,11,R,R,R,STL,MIN,,3,2,-0.99,0.62,-0.26673211144996933,3.879472201749132,,687363,,0,8,Bot,,,,,,100.2,1944,6.2,778528,0.691497,0.7,1,63,8,4,1,4,1,1,4,4,1,235,0.001,0.265,,,3,3,0.981
FF,2025-03-29,100.2,"Miller, Mason",669208,695243,,called_strike,12,R,R,R,SEA,ATH,,1,1,-0.79,1.6,0.8592854132266621,2.8503360039448684,,,,0,9,Bot,,,,,,100.6,2602,6.8,778521,,,,73,3,2,4,2,4,4,2,2,4,204,-0.012,-0.061,,,-2,-2,0.093
FF,2025-03-30,100.1,"Martinez, Justin",683737,679885,,foul,12,R,L,R,AZ,CHC,,2,0,-0.85,1.03,0.6300824778014539,3.3817804023566422,,,,1,8,Top,,,,,,99.7,2316,6.1,778515,,,,65,3,2,6,6,2,6,2,6,2,223,0.001,-0.066,70.7,6.1,-4,4,0.039
FF,2025-03-29,100.1,"Halvorsen, Seth",650490,678020,field_out,hit_into_play,12,R,R,R,TB,COL,ground_ball,2,1,-0.79,1.33,0.8530029215923427,2.5859002540567513,,670764,676356,2,8,Bot,173.66,154.07,6,80.5,-22,101,2258,7,778537,0.049,0,1,67,4,1,2,1,2,2,1,1,2,218,-0.133,-0.283,65.5,7.1,-1,-1,0.298
FC,2025-03-27,100.1,"Clase, Emmanuel",592192,661403,strikeout,swinging_strike,6,R,R,R,KC,CLE,,3,2,0.11,1.15,0.47847256700818186,2.5726474439866225,,521692,672580,2,9,Bot,,,,,,101.2,2594,6.6,778558,0,0,1,71,7,4,4,4,4,4,4,4,4,173,-0.122,-0.282,73.3,7.3,0,0,0.622
FF,2025-03-30,100.1,"Joyce, Ben",681460,690829,,ball,11,R,L,R,CWS,LAA,,1,2,-0.87,0.83,-0.8864114693850735,4.050290125390642,642136,678246,,1,7,Bot,,,,,,101.4,2306,6.9,778527,,,,51,4,2,2,2,2,2,2,2,2,219,0.02,0.038,,,0,0,0.692
SI,2025-03-31,100.1,"Alvarado, José",592178,621237,walk,blocked_ball,13,R,R,L,PHI,COL,,3,2,1.33,0.91,-0.6593091515154665,0.7093739142958713,,,,2,8,Top,,,,,,100.7,2059,6.9,778502,0.691497,0.7,1,61,8,4,1,1,4,1,4,1,4,146,-0.009,0.259,,,3,-3,0.964
SI,2025-03-27,100.1,"Alvarado, José",660688,621237,,foul,2,R,R,L,WSH,PHI,,0,0,1.5,0.76,-0.009481560224850583,3.3788531324459923,,,,2,9,Bot,,,181,82.5,63,100.9,2105,7,778555,,,,69,1,3,3,3,3,3,3,3,3,149,-0.005,-0.043,64.6,6.0,0,0,0.536
SI,2025-03-31,100,"Alvarado, José",669911,621237,,called_strike,13,R,R,L,PHI,COL,,2,1,1.06,1.33,-1.0543294469148519,2.2561014967041553,,,671289,2,8,Top,,,,,,100.6,2048,7,778502,,,,62,4,4,1,1,4,1,4,1,4,152,0.006,-0.093,,,3,-3,0.952
SI,2025-03-31,100,"Alvarado, José",696100,621237,,foul,3,R,R,L,PHI,COL,,1,1,1.16,0.89,0.3818812829124383,3.4410550907896127,,,,1,8,Top,,,263,80.7,31,100.8,2017,7,778502,,,,60,3,4,1,1,4,1,4,1,4,151,0.004,-0.064,70.4,6.2,3,-3,0.952
SI,2025-03-30,100,"Muñoz, Andrés",805779,662253,,called_strike,5,R,R,R,SEA,ATH,,0,0,-1.54,0.21,0.20936744248694095,2.081345771039407,,,691016,1,9,Top,,,,,,100.3,1910,6.6,778513,,,,62,1,2,1,1,2,1,2,1,2,240,0.014,-0.04,,,1,-1,0.825
FF,2025-03-27,100,"Greene, Hunter",642715,668881,,ball,14,R,R,R,CIN,SF,,1,0,-0.79,1.33,0.9253738806256167,1.5981707364667788,,,,1,1,Top,,,,,,99.7,2581,6.6,778561,,,,2,2,0,0,0,0,0,0,0,0,222,-0.005,0.071,,,0,0,0.52
FF,2025-03-27,100,"Greene, Hunter",666149,668881,,foul,4,R,R,R,CIN,SF,,0,0,-0.83,1.63,-0.5727698281974297,2.6672796872338447,,,573262,1,5,Top,,,171,79.3,15,100.6,2401,6.8,778561,,,,37,1,3,2,2,3,2,3,2,3,215,0.006,-0.04,72.5,6.9,1,-1,0.634
FF,2025-03-27,100,"Greene, Hunter",573262,668881,,ball,13,R,L,R,CIN,SF,,0,0,-0.78,1.33,-0.9608590205660625,2.295932902987907,,,,1,3,Top,,,,,,100.7,2428,6.7,778561,,,,17,1,1,0,0,1,0,1,0,1,216,-0.003,0.039,,,1,-1,0.638
FF,2025-03-30,100,"Joyce, Ben",672820,690829,field_out,hit_into_play,5,R,R,R,CWS,LAA,popup,1,1,-0.94,0.93,-0.26240159837058885,2.3551903207260096,642136,678246,,2,7,Bot,185.48,160.2,182,90.8,59,100.9,2378,7,778527,0.041,0,1,52,3,2,2,2,2,2,2,2,2,223,-0.092,-0.271,71.0,6.9,0,0,0.592
